                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99384,                 1.2983,                 1.3527,                 0.6249,                0.71057,                0.69105,                0.43861,                 1.2092,                  1.235,                 1.6263,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.001,                 1.3322,                 1.3558,                0.73981,                0.62123,                0.72744,                0.44602,                 1.2453,                 1.2369,                 1.6221,              0.0010894,              0.0010894,              0.0010894
                     37,                0.96889,                 1.2557,                 1.3315,                0.63469,                0.61148,                0.67635,                0.41933,                 1.2263,                 1.3596,                 1.5995,              0.0010729,              0.0010729,              0.0010729
                     38,                0.95414,                 1.2435,                 1.3229,                0.61928,                 0.6655,                0.68622,                0.43265,                 1.1044,                 1.2513,                 1.5175,              0.0010564,              0.0010564,              0.0010564
                     39,                0.94648,                 1.2493,                 1.3244,                0.60195,                0.72838,                 0.7417,                0.44209,                 1.2247,                 1.1827,                 1.6056,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.9558,                 1.2535,                 1.3356,                0.64813,                0.65758,                0.69224,                0.41904,                 1.2337,                 1.2657,                 1.6179,              0.0010234,              0.0010234,              0.0010234
                     41,                0.94787,                 1.2278,                 1.3128,                0.65628,                0.74641,                0.73652,                0.43835,                 1.2223,                 1.2347,                 1.5803,              0.0010069,              0.0010069,              0.0010069
                     42,                0.94444,                 1.2306,                 1.3092,                0.59094,                0.64695,                0.68457,                0.41871,                 1.2166,                 1.2024,                 1.6029,             0.00099036,             0.00099036,             0.00099036
                     43,                0.94342,                 1.2118,                 1.3055,                0.60166,                0.61816,                0.63692,                0.36484,                 1.1821,                 1.3694,                 1.5893,             0.00097386,             0.00097386,             0.00097386
                     44,                 0.9312,                 1.1883,                 1.3096,                0.62175,                 0.6405,                0.64056,                0.39827,                 1.1748,                 1.2622,                 1.5598,             0.00095736,             0.00095736,             0.00095736
                     45,                0.92317,                 1.1796,                 1.3056,                0.67657,                0.69466,                0.73872,                0.47137,                 1.1874,                 1.3034,                 1.5936,             0.00094085,             0.00094085,             0.00094085
                     46,                0.89922,                 1.1448,                 1.2777,                0.65937,                0.70136,                0.74131,                0.46591,                 1.1985,                  1.187,                  1.573,             0.00092435,             0.00092435,             0.00092435
                     47,                0.90234,                 1.1652,                 1.2854,                 0.6594,                0.69186,                  0.736,                 0.4531,                 1.1925,                 1.1964,                 1.6059,             0.00090785,             0.00090785,             0.00090785
                     48,                0.87003,                 1.1146,                 1.2694,                0.64694,                0.71196,                0.71969,                0.45558,                  1.171,                 1.1214,                 1.5694,             0.00089134,             0.00089134,             0.00089134
                     49,                0.88571,                 1.1157,                 1.2785,                0.64812,                0.72999,                0.72153,                0.46158,                 1.1325,                 1.1346,                 1.5304,             0.00087484,             0.00087484,             0.00087484
                     50,                0.87967,                 1.1109,                  1.283,                0.62488,                0.68474,                0.69322,                0.43693,                 1.1707,                 1.1926,                 1.6109,             0.00085834,             0.00085834,             0.00085834
                     51,                0.87614,                 1.0997,                 1.2669,                0.69127,                0.63727,                0.70699,                0.44684,                 1.1255,                  1.248,                 1.5588,             0.00084184,             0.00084184,             0.00084184
